Scopus-11255-Analyze-Year

"Your query : (TITLE-ABS-KEY ( ""systematic review"" OR ""systematic evidence review"" ) AND ( LIMIT-TO ( SRCTYPE,""j"" ) )  AND ( LIMIT-TO ( SUBJAREA,""SOCI"" ) ) )"


Number of results : 11255

"YEAR",
"2020","1520"
"2019","2115"
"2018","1643"
"2017","1188"
"2016","923"
"2015","754"
"2014","610"
"2013","459"
"2012","415"
"2011","264"
"2010","202"
"2009","227"
"2008","170"
"2007","154"
"2006","143"
"2005","119"
"2004","89"
"2003","71"
"2002","28"
"2001","50"
"2000","26"
"1999","13"
"1998","18"
"1997","13"
"1996","5"
"1995","3"
"1994","1"
"1993","2"
"1992","3"
"1991","3"
"1990","1"
"1989","3"
"1987","4"
"1986","2"
"1985","3"
"1984","2"
"1983","1"
"1980","2"
"1978","2"
"1972","1"
"1968","1"
"1954","1"
"1953","1"
